series,episode,baker,baker_last_name,baker_age,hometown,baker_occupation,technical,result,signature_bake,show_stopper
1,1,Edd,Kimber,24,Bradford,Debt collector for Yorkshire Bank,1,IN,Caramel Cinnamon and Banana Cake,N/A
1,1,Annetha,Mills,30,Essex,Midwife,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
1,1,David,Chambers,31,Milton Keynes,Entrepreneur,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
1,1,Miranda,Browne,37,"Midhurst, West Sussex",Food buyer for Marks & Spencer,8,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
1,1,Jonathan,Shepherd,25,St Albans,Research Analyst,9,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry
1,1,Lea,Harris,51,"Midlothian, Scotland",Retired,10,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
1,1,Jasminder,Randhawa,45,Birmingham,Assistant Credit Control Manager,NA,IN,Fresh Mango and Passion Fruit Hummingbird Cake,N/A
1,1,Louise,Brimelow,44,Manchester,Police Officer,NA,IN,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
1,1,Ruth,Clemens,31,"Poynton, Cheshire",Retail manager/Housewife,NA,IN,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
1,1,Mark,Whithers,48,South Wales,Bus Driver,NA,OUT,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
1,2,Jonathan,Shepherd,25,St Albans,Research Analyst,1,IN,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream
1,2,Jasminder,Randhawa,45,Birmingham,Assistant Credit Control Manager,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
1,2,Miranda,Browne,37,"Midhurst, West Sussex",Food buyer for Marks & Spencer,3,IN,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons
1,2,Louise,Brimelow,44,Manchester,Police Officer,4,OUT,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
1,2,Ruth,Clemens,31,"Poynton, Cheshire",Retail manager/Housewife,5,IN,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
1,2,Edd,Kimber,24,Bradford,Debt collector for Yorkshire Bank,6,IN,Oatmeal Raisin Cookie,Pink Macarons
1,2,Annetha,Mills,30,Essex,Midwife,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
1,2,David,Chambers,31,Milton Keynes,Entrepreneur,8,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles
1,3,Edd,Kimber,24,Bradford,Debt collector for Yorkshire Bank,1,IN,Olive Bread,Tomato and Mozzarella
1,3,Ruth,Clemens,31,"Poynton, Cheshire",Retail manager/Housewife,2,IN,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels"
1,3,Miranda,Browne,37,"Midhurst, West Sussex",Food buyer for Marks & Spencer,3,IN,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns"
1,3,David,Chambers,31,Milton Keynes,Entrepreneur,4,IN,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun"
1,3,Jasminder,Randhawa,45,Birmingham,Assistant Credit Control Manager,5,IN,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
1,3,Jonathan,Shepherd,25,St Albans,Research Analyst,6,OUT,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
1,4,Miranda,Browne,37,"Midhurst, West Sussex",Food buyer for Marks & Spencer,1,IN,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble"
